id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
100	tem	-0.4306	-0.2813	1	101	492	44	2015.0682
101	temperature	-0.7793	0.1085	1	99	451	46	2016.2391
102	template	0.3346	0.215	2	84	171	24	2015.5
103	tensile strength	-0.3432	0.1735	1	66	133	18	2016.7222
104	tga	-0.9571	-0.4078	1	90	400	33	2014.4848
105	thermal property	-1.1119	0.0541	1	52	105	14	2016.3571
106	thermal stability	-0.8947	-0.107	1	100	673	73	2014.9589
107	thermoelectric performance	0.0898	0.6629	3	58	128	16	2016.5
108	thermoelectric property	-0.0244	0.7351	3	63	165	18	2016
109	thermogravimetric analysis	-0.8607	-0.4766	1	85	377	31	2014.7419
110	transmission electron microscopy	-0.3742	-0.679	1	95	527	47	2014.9787
111	w m	0.1546	0.8445	3	43	88	11	2016.6364
112	x ray diffraction	-0.6545	-0.5208	1	107	740	68	2016.1471
113	x ray photoelectron spectroscopy	-0.2612	-0.831	1	57	156	15	2016.9333
114	xrd	-0.6036	-0.1906	1	107	766	68	2016.7794
